title,sinopse,release_day,release_month,release_year
o poderoso chefão,a ascensão de michael corleone no império do crime.,21,OCTOBER,2025
o mágico de oz,uma garota é levada por um tornado para uma terra mágica.,07,AUGUST,2026
cidadão kane,a vida do magnata da mídia charles foster kane é investigada.,07,JULY,2028
um sonho de liberdade,dois homens se unem ao longo de vários anos numa prisão.,30,NOVEMBER,2025
pulp fiction: tempo de violência,"histórias interligadas de criminosos, gangsters e boxeadores.",27,JANUARY,2028
casablanca,um dono de clube deve escolher entre seu amor e a liberdade dela.,04,JANUARY,2027
o poderoso chefão 2,a saga da família corleone e a ascensão de vito corleone.,19,JANUARY,2025
e.t. - o extraterrestre,um garoto faz amizade com um alienígena abandonado na terra.,20,FEBRUARY,2025
2001: uma odisseia no espaço,a jornada da humanidade desde a pré-história até a inteligência artificial.,17,FEBRUARY,2026
a lista de schindler,um empresário alemão salva mais de mil judeus do holocausto.,06,APRIL,2026
o senhor dos anéis: o retorno do rei,a conclusão épica da jornada para destruir o anel.,30,SEPTEMBER,2025
star wars: episódio iv - uma nova esperança,luke skywalker se junta a jedi para salvar a princesa leia.,28,SEPTEMBER,2025
os caçadores da arca perdida,indiana jones busca a arca da aliança antes dos nazistas.,21,AUGUST,2028
forrest gump: o contador de histórias,a vida de um homem simples que testemunha eventos históricos.,27,MAY,2025
e o vento levou...,o romance épico ambientado durante a guerra civil americana.,01,OCTOBER,2028
a noviça rebelde,uma noviça se torna governanta dos filhos de um capitão viúvo.,18,JULY,2028
o sol é para todos,um advogado defende um homem negro acusado injustamente no sul dos eua.,07,MARCH,2028
apocalypse now,um capitão é enviado ao vietnã para assassinar um coronel renegado.,09,SEPTEMBER,2026
"noivo neurótico, noiva nervosa",a história de amor e neuroses de alvy e annie.,21,AUGUST,2025
contatos imediatos do terceiro grau,um eletricista encontra evidências de vida extraterrestre.,21,MARCH,2025
o senhor dos anéis: a sociedade do anel,o início da jornada de frodo para destruir o anel.,19,NOVEMBER,2027
o silêncio dos inocentes,uma estagiária do fbi busca a ajuda de hannibal lecter.,05,APRIL,2026
matrix,um hacker descobre que a realidade é uma simulação.,04,MAY,2027
os vingadores: ultimato,os heróis restantes tentam reverter o estalo de thanos.,13,MAY,2028
titanic,o romance entre jack e rose a bordo do navio condenado.,14,SEPTEMBER,2028
avatar,um fuzileiro naval é enviado para pandora e se apaixona por uma nativa.,07,SEPTEMBER,2028
jurassic park: parque dos dinossauros,dinossauros clonados escapam em um parque temático.,06,AUGUST,2027
o sexto sentido,um menino que vê pessoas mortas busca a ajuda de um psicólogo.,09,FEBRUARY,2027
clube da luta,um trabalhador de escritório entediado forma um clube de luta secreto.,03,AUGUST,2027
a origem,um ladrão usa a tecnologia para roubar segredos valiosos do subconsciente.,07,DECEMBER,2027
interestelar,viajantes espaciais buscam um novo lar para a humanidade.,01,SEPTEMBER,2025
"blade runner, o caçador de andróides",um caçador persegue androides renegados em los angeles futurista.,10,AUGUST,2025
o império contra-ataca,darth vader persegue luke e seus amigos pela galáxia.,08,JULY,2025
"alien, o 8º passageiro",uma tripulação de nave espacial encontra um predador alienígena.,25,APRIL,2028
o exterminador do futuro 2: o julgamento final,"sarah connor e um exterminador protegem seu filho, john.",17,DECEMBER,2027
de volta para o futuro,um adolescente viaja no tempo em um delorean modificado.,08,JUNE,2026
o grande hotel budapeste,as aventuras de um concierge e seu lobby boy.,30,JULY,2027
divertida mente,as emoções de uma garota adolescente guiam sua vida.,20,MAY,2026
up: altas aventuras,um idoso viaja para a américa do sul amarrando balões em sua casa.,22,NOVEMBER,2027
wall-e,um robô de lixo solitário se apaixona e salva a humanidade.,20,DECEMBER,2026
toy story,brinquedos ganham vida quando seus donos não estão por perto.,27,OCTOBER,2028
o rei leão,a jornada de simba para recuperar seu trono.,14,MARCH,2027
procurando nemo,um peixe-palhaço viaja para encontrar seu filho desaparecido.,12,JUNE,2027
shrek,um ogro mal-humorado embarca em uma missão para resgatar uma princesa.,03,NOVEMBER,2025
os incríveis,uma família de super-heróis é forçada a esconder seus poderes.,04,APRIL,2028
ratatouille,um rato chef sonha em cozinhar em um restaurante famoso.,04,SEPTEMBER,2028
coco,um jovem viaja para a terra dos mortos para encontrar seu tataravô músico.,20,SEPTEMBER,2028
o lobo de wall street,a ascensão e queda do corretor de ações jordan belfort.,13,DECEMBER,2028
mad max: estrada da fúria,"em um futuro desértico, um tirano é desafiado por uma imperatriz.",07,OCTOBER,2027
corra!,um fotógrafo negro descobre a verdade por trás da família de sua namorada.,12,JULY,2027
pantera negra,t'challa assume o trono de wakanda e deve defendê-lo.,19,FEBRUARY,2028
parasita,uma família pobre se infiltra na vida de uma família rica.,11,MARCH,2028
a rede social,a história da criação do facebook por mark zuckerberg.,03,JANUARY,2025
a teoria de tudo,a vida do físico stephen hawking e sua relação com sua primeira esposa.,14,AUGUST,2025
la la land: cantando estações,um pianista e uma atriz lutam para fazer sucesso em los angeles.,17,JANUARY,2027
o resgate do soldado ryan,soldados americanos buscam um paraquedista em combate.,10,JANUARY,2026
gladiador,um general romano busca vingança contra o imperador corrupto.,03,OCTOBER,2025
batman: o cavaleiro das trevas,o batman enfrenta o coringa em gotham city.,29,JUNE,2026
quem quer ser um milionário?,um indiano órfão responde a perguntas no programa de tv.,11,AUGUST,2028
o segredo dos seus olhos,um ex-funcionário de tribunal investiga um caso de estupro não resolvido.,03,JUNE,2026
moonlight: sob a luz do luar,a vida de um jovem negro gay em miami.,02,APRIL,2026
gênio indomável,um zelador prodígio em matemática é ajudado por um terapeuta.,27,FEBRUARY,2026
o homem que mudou o jogo,um gerente de beisebol usa estatísticas para montar uma equipe.,21,DECEMBER,2025
o cisne negro,uma bailarina busca a perfeição e luta com sua psique.,08,FEBRUARY,2025
o fabuloso destino de amélie poulain,uma jovem parisiense decide mudar a vida das pessoas ao seu redor.,10,SEPTEMBER,2028
brilho eterno de uma mente sem lembranças,um casal apaga as memórias um do outro após um término.,02,MARCH,2026
donnie darko,um adolescente problemático tem visões de um coelho gigante.,15,NOVEMBER,2028
v de vingança,um vigilante mascarado tenta derrubar um regime totalitário.,12,FEBRUARY,2027
distrito 9,alienígenas refugiados são confinados em uma área de johannesburgo.,13,SEPTEMBER,2028
gravidade,dois astronautas lutam pela sobrevivência no espaço.,13,MARCH,2025
a chegada,uma linguista é recrutada para se comunicar com alienígenas.,19,JULY,2028
blade runner 2049,um novo blade runner descobre um segredo que pode causar o caos.,22,NOVEMBER,2025
guardiões da galáxia,um grupo desajustado se une para proteger a galáxia.,07,SEPTEMBER,2025
thor: ragnarok,"thor e hulk devem salvar asgard da deusa da morte, hela.",17,OCTOBER,2025
doutor estranho,um neurocirurgião se torna um mestre das artes místicas.,01,JANUARY,2025
capitão américa: guerra civil,os vingadores se dividem após um acordo de regulamentação.,16,FEBRUARY,2028
homem-aranha: sem volta para casa,peter parker lida com as consequências de ter sua identidade revelada.,07,DECEMBER,2027
duna,o herdeiro de uma casa nobre deve proteger o planeta mais importante do universo.,24,MAY,2027
a forma da água,um romance entre uma faxineira e uma criatura anfíbia capturada.,09,JANUARY,2026
no país do amor,a história de um fazendeiro galês e um trabalhador migrante romeno.,15,MAY,2026
roma,um ano na vida de uma família de classe média na cidade do méxico.,01,OCTOBER,2025
boyhood: da infância à juventude,acompanhando a vida de um menino por 12 anos.,25,JANUARY,2027
whiplash: em busca da perfeição,um jovem baterista busca a perfeição sob um instrutor abusivo.,05,FEBRUARY,2028
o artista,um ator de filmes mudos tenta se adaptar à era do cinema falado.,17,MAY,2026
sem rastros,a jornada de uma garota que tenta entender o passado de sua mãe.,13,NOVEMBER,2026
o segredo de brokeback mountain,um romance secreto entre dois cowboys no oeste americano.,20,DECEMBER,2027
o pianista,a sobrevivência de um pianista judeu durante a segunda guerra mundial.,01,JANUARY,2025
cães de aluguel,o antes e depois de um roubo que deu errado.,16,MAY,2028
a vida é bela,um pai judeu usa o humor para proteger seu filho em um campo de concentração.,28,JANUARY,2028
américa proibida: história de x,um ex-neonazista tenta impedir seu irmão mais novo de seguir seus passos.,12,NOVEMBER,2028
era uma vez em... hollywood,um ator e seu dublê tentam sobreviver no fim da era de ouro de hollywood.,17,SEPTEMBER,2025
o iluminado,um zelador de hotel e sua família ficam isolados durante o inverno.,11,JULY,2025
laranja mecânica,"a história de alex, um jovem deliquente violento e reformado.",30,NOVEMBER,2026
taxi driver: motorista de táxi,um veterano de guerra se torna um motorista de táxi e desce à loucura.,27,NOVEMBER,2027
o exorcista,duas pessoas tentam exorcizar um demônio de uma garota de 12 anos.,19,APRIL,2028
tubarão,um chefe de polícia tenta caçar um tubarão branco em uma ilha.,07,SEPTEMBER,2025
psicose,uma secretária rouba dinheiro e se hospeda em um motel isolado.,23,JULY,2026
a noiva cadáver,um noivo acidentalmente casa-se com uma noiva morta.,13,MARCH,2026
o fantástico sr. raposo,um fazendeiro de raposas tenta superar seus instintos selvagens.,09,JULY,2027
a viagem de chihiro,uma garota viaja para um mundo espiritual após seus pais serem transformados.,22,NOVEMBER,2026
a vida secreta de walter mitty,um editor de fotos embarca em uma aventura real.,28,MARCH,2027
meu vizinho totoro,duas meninas se mudam para o campo e encontram espíritos da floresta.,09,DECEMBER,2025
era uma vez no oeste,um homem misterioso tenta proteger uma viúva de um assassino.,21,MARCH,2028
três homens em conflito,três pistoleiros competem para encontrar um tesouro enterrado.,24,SEPTEMBER,2026
o segredo do abismo,uma equipe de mergulho encontra uma forma de vida alienígena submarina.,14,FEBRUARY,2026
star wars: o despertar da força,uma catadora e um stormtrooper se unem contra a primeira ordem.,28,MAY,2025
rogue one: uma história star wars,rebeldes tentam roubar os planos da estrela da morte.,23,MAY,2028
capitã marvel,carol danvers se torna uma das heroínas mais poderosas do universo.,17,APRIL,2027
doutor estranho no multiverso da loucura,o doutor estranho navega pelas realidades alternativas.,19,FEBRUARY,2028
shang-chi e a lenda dos dez anéis,um jovem deve enfrentar o passado de sua família.,22,JULY,2026
viúva negra,natasha romanoff confronta a parte mais sombria de sua história.,24,SEPTEMBER,2026
os eternos,seres imortais se reúnem para proteger a terra.,13,MARCH,2025
frozen: uma aventura congelante,uma princesa com poderes de gelo acidentalmente congela seu reino.,30,APRIL,2026
moana: um mar de aventuras,uma jovem busca um semideus para salvar sua ilha.,26,MAY,2027
